_id,name,description,category,price,enrolled,status,imageUrl,courseUrl,createdAt,updatedAt
67b66ea75027c21607116423,Project Management,Campana attonbitus impedit suggero sponte.,Strategic Planning,334.09,29,Published,https://fantastic-term.com,https://milky-dress.org,2025-02-19T23:52:07.218Z,2025-02-19T23:52:07.218Z
67b66ea75027c21607116424,QA Engineer,Utilis demergo deficio denego quia defaeco universe quibusdam.,Data Visualization,706.25,15,Published,https://breakable-cow.name,https://busy-begonia.org/,2025-02-19T23:52:07.218Z,2025-02-19T23:52:07.218Z
67b66ea75027c21607116428,Product Marketing,Apostolus thema ullam depulso victoria.,Data Visualization,622.51,4,Published,https://jagged-innovation.info,https://serpentine-making.biz,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c2160711642b,Brand/Identity Design,Summopere pectus conforto canis ulciscor amicitia alii enim delectus.,Strategic Planning,449.35,45,Published,https://unsung-hunger.net,https://icy-polyester.org/,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c2160711642c,AI/ML Engineering,Earum aut cilicium tolero debeo audio.,Public Speaking,582.69,18,Published,https://linear-flame.net,https://faint-best-seller.biz/,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b466c712d17519439447a2,Development and Enginnering Course,"This is a category for Frontend, Backend, Software Developers or Engineering working in the development",Development and Technology,200,,active,https://www.gavi.org/sites/default/files/about/global-health/sdgs-rec.png,https://www.tobamsgroupacademy.com/course?courseid=product-development-and-innovation,2025-02-18T10:53:59.090Z,2025-02-18T10:53:59.090Z
67b66ea75027c2160711642a,Project Management,Vociferor umerus accendo cornu sordeo voluptatem spiculum.,Strategic Planning,722.00,13,Published,https://experienced-synergy.biz,https://sociable-cook.name,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c2160711642d,UI/UX Design,Theologus tero stillicidium cinis.,Strategic Planning,830.52,27,Published,https://grounded-tail.net/,https://violent-corral.com,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c21607116436,UX Testing,Venio amitto tenetur voro copiose nesciunt volup cernuus.,Strategic Planning,842.19,15,Published,https://prickly-cheese.com,https://alert-midwife.info,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67a60b193d7d5bc58eb0bbaa,Entrepreneurship,Entrepreneurship Course,IcEazy,$100.00,,active,https://www.gavi.org/sites/default/files/about/global-health/sdgs-rec.png,https://www.tobamsgroupacademy.com/course?courseid=entrepreneurship-for-beginners,2025-02-07T13:31:05.307Z,2025-02-17T14:16:18.606Z
